"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.455285458E0,5.561834106E0,1.058927948E1,7.461383972E0,1.409748521E1
2.465263458E0,4.464017029E0,9.645492096E0,6.671775970E0,1.254892666E1
2.475240458E0,3.662733307E0,8.850794678E0,6.105353851E0,1.135902845E1
2.485218458E0,3.096610565E0,8.247698822E0,5.848937073E0,1.057466774E1
2.495195458E0,2.882406006E0,7.567213898E0,5.829028473E0,9.977402643E0
2.505173458E0,3.334915009E0,7.398065643E0,5.439388733E0,9.769338932E0
2.515150458E0,4.257596283E0,9.081614685E0,3.447331238E0,1.060598624E1
2.525128458E0,4.725223846E0,1.081261505E1,2.156864777E0,1.199551793E1
2.535106458E0,4.334985352E0,1.214140182E1,1.589394836E0,1.298968484E1
2.545083458E0,3.895349579E0,1.328008392E1,1.592687988E-1,1.384051097E1
2.555061458E0,4.166585541E0,1.403840698E1,-1.753303986E0,1.474826704E1
2.565038458E0,3.977079620E0,1.415052383E1,-3.385958862E0,1.508373974E1
2.575016458E0,1.841320953E0,1.259121643E1,-3.316503296E0,1.315022388E1
2.584993458E0,-8.086184692E-1,9.695188751E0,-1.113833771E0,9.792403914E0
2.594971458E0,-2.458786926E0,7.301965485E0,1.010398865E0,7.770793972E0
2.604948458E0,-1.935175781E0,6.813082123E0,2.874023438E-1,7.088412617E0
2.614926458E0,-4.924758911E-1,7.592211914E0,-1.941013641E0,7.851862722E0
2.624903458E0,3.146456909E-1,8.455766144E0,-3.364403687E0,9.105942848E0
2.634881458E0,6.201603699E-1,9.090745697E0,-3.766168213E0,9.859527332E0
2.644859458E0,7.333250427E-1,9.613009644E0,-4.196223907E0,1.051456205E1
2.654836458E0,8.008346558E-1,9.443112946E0,-4.226161652E0,1.037661605E1
2.664814458E0,1.847757568E0,1.043375290E1,-3.177442474E0,1.106225783E1
2.674791458E0,2.653981018E0,1.064601151E1,-1.975741425E0,1.114830617E1
2.684769458E0,2.799328766E0,9.969119110E0,-3.733236694E-1,1.036141631E1
2.694746458E0,3.153941345E0,9.360035706E0,1.686692505E0,1.002010709E1
2.704724458E0,3.529959412E0,8.984766083E0,2.979254608E0,1.010260328E1
2.714701458E0,3.365301819E0,8.884923706E0,2.603984985E0,9.851287398E0
2.724679458E0,2.821782074E0,8.870254211E0,1.525477753E0,9.432441159E0
2.734656458E0,2.486928406E0,8.967252502E0,6.071374512E-1,9.325505146E0
2.744634458E0,2.373015289E0,9.202263794E0,-1.556762695E-1,9.504582873E0
2.754612458E0,2.252366180E0,9.329798584E0,-1.429527283E-1,9.598892150E0
2.764589458E0,2.147883453E0,9.229058075E0,2.100132751E-1,9.478028374E0
2.774567458E0,2.051932983E0,9.006620636E0,2.248324585E-1,9.240140361E0
2.784544458E0,2.073488159E0,8.649912415E0,4.116439819E-2,8.895056629E0
2.794522458E0,2.237996063E0,8.459208984E0,-2.053729248E-1,8.752657943E0
2.804499458E0,2.590063934E0,8.555608521E0,-4.306544495E-1,8.949431915E0
2.814477458E0,3.132086792E0,8.816815338E0,-6.165678406E-1,9.376905475E0
2.824454458E0,3.629203033E0,9.022038574E0,-7.250921631E-1,9.751617986E0
2.834432458E0,3.795806580E0,8.831933899E0,-6.571334839E-1,9.635508726E0
2.844409458E0,3.948189697E0,8.644373932E0,-6.107299805E-1,9.522940390E0
2.854387458E0,4.543052673E0,9.141340485E0,-4.824467468E-1,1.021940254E1
2.864365458E0,4.470154266E0,8.777147827E0,-2.841091919E-1,9.854000263E0
2.874342458E0,4.403243408E0,8.792865143E0,-2.695893860E-1,9.837464529E0
2.884320458E0,4.130211182E0,8.749156036E0,-6.291416931E-1,9.695472914E0
2.894297458E0,3.823349304E0,8.704548798E0,-8.087681580E-1,9.541555198E0
2.904275458E0,3.436254272E0,8.843010864E0,-7.819738770E-1,9.519357526E0
2.914252458E0,3.077151031E0,8.889564056E0,-6.953041077E-1,9.432743789E0
2.924230458E0,2.657274170E0,8.707093506E0,-7.539820862E-1,9.134717966E0
2.934207458E0,2.607727203E0,9.110055542E0,-6.818321228E-1,9.500434105E0
2.944185458E0,2.500250702E0,9.221274261E0,-6.968009949E-1,9.579597288E0
2.954162458E0,2.260149994E0,9.125174103E0,-6.273454285E-1,9.421817377E0
2.964140458E0,2.245181122E0,9.189540253E0,-5.236111450E-1,9.474315646E0
2.974118458E0,2.442470856E0,9.323661346E0,-4.754113770E-1,9.649991749E0
2.984095458E0,2.779569855E0,9.586963806E0,-6.089337158E-1,1.000033419E1
2.994073458E0,3.198847961E0,9.834998016E0,-5.918692017E-1,1.035905997E1
3.004050458E0,3.713028717E0,1.015802628E1,-7.149133301E-1,1.083896587E1
3.014028458E0,4.034260712E0,1.032148636E1,-7.490423584E-1,1.110717807E1
3.024005458E0,4.292623444E0,1.049168243E1,-7.128176880E-1,1.135826243E1
3.033983458E0,4.398453369E0,1.047371979E1,-6.792874146E-1,1.138009796E1
3.043960458E0,4.724026337E0,1.062595322E1,-2.448907471E-1,1.163130595E1
3.053938458E0,5.255870361E0,1.075588303E1,3.505709839E-1,1.197648082E1
3.063915458E0,5.362299042E0,1.034214340E1,6.936575317E-1,1.167027600E1
3.073893458E0,5.360802155E0,9.902657318E0,9.279203796E-1,1.129875471E1
3.083870458E0,5.418282623E0,9.609866180E0,8.708889771E-1,1.106642500E1
3.093848458E0,5.817352753E0,1.016820511E1,4.736151123E-1,1.172426115E1
3.103826458E0,6.536906433E0,1.138906631E1,-2.589614868E-2,1.313174200E1
3.113803458E0,7.208110657E0,1.243688736E1,-2.396516418E-1,1.437673326E1
3.123781458E0,7.798782349E0,1.303654037E1,6.459068298E-1,1.520491982E1
3.133758458E0,7.574848022E0,1.237491623E1,1.962568817E0,1.464133022E1
3.143736458E0,7.118447113E0,1.160267212E1,2.678529968E0,1.387331296E1
3.153713458E0,6.271208954E0,1.123174347E1,2.215393066E0,1.305327888E1
3.163691458E0,4.986879730E0,1.115225876E1,1.297352142E0,1.228515232E1
3.173668458E0,3.572620697E0,1.107965973E1,9.921368408E-1,1.168361305E1
3.183646458E0,2.238295441E0,1.102936432E1,4.986131287E-1,1.126523230E1
3.193624458E0,1.102307739E0,1.096035782E1,-1.107696533E-2,1.101565470E1
3.203601458E0,4.905299377E-1,1.125120300E1,-3.150947571E-1,1.126629812E1
3.213579458E0,4.625381470E-1,1.237880814E1,-2.977308655E-1,1.239102401E1
3.223556458E0,8.500822449E-1,1.391431503E1,-4.305047607E-1,1.394690421E1
3.233534458E0,9.770182800E-1,1.516526367E1,-6.586303711E-2,1.519684589E1
3.243511458E0,7.569758606E-1,1.615246078E1,3.899391174E-1,1.617488962E1
3.253489458E0,3.540138245E-1,1.642669052E1,4.273612976E-1,1.643606172E1
3.263466458E0,1.227447510E-1,1.474089615E1,2.957849121E-1,1.474437433E1
3.273444458E0,2.510279846E-1,1.246787292E1,-3.058140564E-1,1.247414897E1
